1-May-06	Man and His Symbols	"Jung, etc."	6	Favorite parts and dream significance and modern art
1-Jun-06	On the Shortness of Life	Seneca	2	Too much focus on Roman problems
1-Jul-06	Meditations	Marcus Aurelius	6	"Sometimes Roman, often universal"
1-Oct-06	"Discourses, Books 1 and 2"	Epictetus	6	Excellent but long
1-Nov-06	Tao Te Ching	Lao Tzu	5	Choice snippets but with many ambiguities
1-Nov-06	My Name is Red	Orhan Pamuk	4	Black tries to marry Shekure by avenging Enishte's murder
6-Dec-06	Last Exit to Brooklyn	Hubert Selby	6	Short stories together; writes with no pretension; Tralala
6-Dec-06	Art of Happiness	Dalai Lama	4	"Interesting to see psychologist's problem, but better if just by Lama"
7-Jan-07	Collapse	Jared Diamond	5	"Argument that collapses caused by complex societies reliant on declining agriculture (Greenland, Rwanda)"
10-Jan-07	Things Fall Apart	Chinua Achebe	5	"Okonkwo's life gets messed up, pacification is dumb; few words"
7-Jan-07	Making Mute Stones Speak	Schick and Toth	3	"Not exciting, even for paleoanthrop, but gives good controversies"
7-Feb-07	Our Inner Ape	Frans de Waal	4	"Excellent bridging of the human-ape gap, makes you think twice"
7-Feb-07	The Chimpanzee	Jane Goodall	2	"Interesting to read about chimp politics, but nothing spectacular"
7-Feb-07	Invention of Love	Tom Stoppard	3	"Classical references, love poetry, but some parts poorly constructed or wordy"
7-Feb-07	Bonobo: The Forgotten Ape	Frans de Waal	2	"Lots of pictures, but very little new information"
7-Feb-07	Horace: The Odes	"J. D. McClatchy, ed."	5	"Most of the translations are very good, and Horace is a wonderful poet"
7-Feb-07	Broken Fountain	Thomas Belmonte	3	"Reads like a novel, and sometimes feels generalized; Neapolitan poor"
7-Mar-07	Other Side of Eden	Hugh Brody	3	"Hunter-gatherers are the real settled people, agriculture forces movement"
7-Mar-07	Mismeasure of Man	Stephen Gould	3	"Gets very dense, but puts across important points about ""intelligence"""
8-Mar-07	Buzkashi	G. Whitney Azoy	3	"Fun look into the game, but sometimes weak on narrative"
7-Apr-07	Das Boot	Lothar-Gunther Buchheim	5	"Long but moves quickly, gives feel of U-boat life"
7-Apr-07	Enemy Submarine	Wolfgang Frank	3	"Stories about Prien, including some war logs"
7-Apr-07	Veiled Sentiments	Lila Abu-Lughod	5	"Bedouin women, including differing roles of poetry and normal discourse"
7-Apr-07	Crying of Lot 49	Thomas Pynchon	6	Oedipa Maas and the inheritance conspiracy
7-Apr-07	Shadows of War	Carolyn Nordstrom	4	Extra-state economies and powers; could have been half the length
7-May-07	Tractatus Logico-Philosophicus	Ludwig Wittgenstein	4	"Logic and life, picks up a whole lot in part 6"
7-May-07	Man's Search for Meaning	Victor Frankl	2	"Like the Stoics, only a little modern"
7-May-07	Pudd'nhead Wilson	Mark Twain	4	Fun story and implications on slavery
7-Jun-07	Islam: Very Short Intro	Malise Ruthven	3	"Only last part interesting, but seems subjective"
